composition,melting point(K)
CaSiO3,1833
Mg2Ge,1388
Mg2Pb,823
Mg2Si,1358
Mg2Sn,851
SnI4,419
TcC,2108
Zn2Eu,923
Zn2Yb,1027
Be12Mo,1977
Be12Nb,1961
Be12Ta,2122
Be12Ti,1866
Be13Zr,2200
Be17Nb2,1978
Be17Ta2,2261
Be17Ti2,1905
Be17Zr2,2255
MoSi2,2305
NbAl3,1978
NbF5,352
TaAl3,1978
TaSi2,2672
WSi2,2455
Gd4Bi3,2000
LaTe,1998
Nd,1292
Pr,1203
Pr0.5Nd0.5,1229
Th3Pt5,1773
ThIr2,1773
ThIr5,1773
ThOs2,1773
ThPt,1773
U0.8068Cr0.1932,1154
ZnTe,1568
Bi2Se3,979
Ce3Al,938
GaSb,975
GaTe,1097
GeS,947
NiS,1273
NiSe2,1123
PbSe,1361
Sb2Se3,873
SnS,1154
UC,2773
ZrC,3773
Cu2O,1509
Mn2As,1302
MnAs,1258
BaS,2470
Ce3S4,2325
CeS,2725
La2.67S4,2273
MgS,2270
Nd2.67S4,2473
SrS,2270
ThS,2500
ThS2,2203
ZrO2,2960
SmB6,2673
Fe1.11Te,1210
Cr3C2,2168
CrSi2,1843
HfC,4163
Mo3Si,2323
MoC0.5,2963
MoSi2,2300
NbC,3773
NbSi2,2223
TaC,4153
TaSi2,2673
TiC,3413
VC,3103
VSi2,2023
W2C,3003
WC,3143
WSi2,2423
ZrC,3803
